id,task,role,weeks
1.1,Define Scope & Objectives,Project Manager,2
1.2,Schedule & Resource Planning,Project Manager,2
1.3,Risk Management & Budget Approval,Project Manager,3
2.1,Requirements Analysis & Use Cases,Backend Engineer,4
2.2,Database Schema Design,Database Engineer,3
2.3,System Architecture Diagram & APIs,Backend Engineer,2
3.1,Auth & Role-Based Login UI,Frontend Engineer,3
3.2,Ledger Entry Dashboard,Frontend Engineer,3
3.3,Reporting & Analytics UI,Frontend Engineer,3
3.4,Responsive Design & UX Polish,Frontend Engineer,2
4.1,API Implementation,Backend Engineer,5
4.2,Security & Access Control,Backend Engineer,4
4.3,Activity Logging & Audit Trail,Backend Engineer,2
4.4,Database Integration & Backup Setup,Database Engineer,3
5.1,Unit & Integration Testing,QA Engineer,3
5.2,User Acceptance Testing (UAT),QA Engineer,2
5.3,Security & Performance Testing,QA Engineer,2
6.1,Alpha/Beta/Release Deployment,Backend Engineer,3
6.2,Final Production Deployment,Backend Engineer,2
6.3,Maintenance & Documentation,Project Manager,2
